Chamber,DistrictNumber,DistrictLabel,CandName,CandidateStatus,Party,CommitteeName,AcceptedVSL,ListingStatus,BegFundsOnHand,MonetaryContributions,MonetaryExpenditures,LoansReceived,LoanPayments,EndFundsOnHand,NonMonetaryContributions,NonMonetaryExpenditures
House,55,House District 55,"TAGGART JR., JOHN MERRICK",Active,Republican,TAGGART FOR HOUSE DISTRICT 55,Yes,Active,31532.0200,14933.0000,24447.8000,0.0000,0.0000,17668.6700,100.0000,0.0000
House,56,House District 56,"RICHARDSON, CHRISTOPHER ALAN",Active,Republican,COMMITTEE TO ELECT RICHARDSON FOR HOUSE DISTRICT 56,No,Active,6021.1800,12196.2000,10002.1700,0.0000,0.0000,8215.2100,0.0000,0.0000
House,57,House District 57,"ANDREWS, RUSSELL A",Active,Republican,RUSS FOR HD 57,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,57,House District 57,"VELASCO, ELIZABETH",Active,Democratic,ELIZABETH FOR COLORADO,No,Active,22463.6000,13683.0000,32126.7200,0.0000,0.0000,4019.8800,0.0000,0.0000
House,58,House District 58,"SUCKLA, LARRY DON",Active,Republican,COMMITTEE TO ELECT LARRY DON SUCKLA,No,Active,23.8700,1251.1200,0.0000,0.0000,500.0000,774.9900,0.0000,0.0000
House,59,House District 59,"RIESS, NAOMI ELIZABETH",Active,Republican,RIESS FOR COLORADO,No,Active,0.0000,15892.3100,21185.2900,9659.9700,316.9300,4050.0600,1350.0000,0.0000
House,59,House District 59,"STEWART, KATIE",Active,Democratic,KATIE FOR COLORADO,No,Active,3737.2500,24194.0000,5533.2100,0.0000,0.0000,25122.6300,0.0000,0.0000
House,60,House District 60,"ALEXANDER, MATTHEW",Active,Republican,ALEXANDER FOR COLORADO,Yes,Active,0.0000,4500.9500,2097.7000,0.0000,0.0000,2403.2500,0.0000,0.0000
House,60,House District 60,"GRAY, MICHELLE",Active,Republican,GRAY FOR HD 60,No,Active,0.0000,10035.2300,4253.5800,2000.0000,0.0000,7781.6500,470.0000,0.0000
House,60,House District 60,"GREEN, KATHRYN KESTER",Active,Democratic,GREEN-HD60 (KATHRYN GREEN FOR COLORADO HOUSE DISTRICT 60),Yes,Active,774.0300,0.0000,106.0000,0.0000,0.0000,668.0300,0.0000,0.0000
House,61,House District 61,"HAMRICK, ELIZA CARNEY",Active,Democratic,ELIZA FOR COLORADO,No,Active,53120.8900,62514.0500,55217.3300,0.0000,0.0000,60417.6100,0.0000,0.0000
House,61,House District 61,"SHAMBLIN, SCOTT",Active,Republican,SCOTT FOR COLORADO,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,62,House District 62,"GONZALEZ, EVANS AUDEN",Active,Republican,GONZALEZ FOR HD62,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,62,House District 62,"MARTINEZ, MATTHEW",Active,Democratic,FRIENDS OF MATTHEW MARTINEZ,Yes,Active,20421.3600,4293.0000,2992.3100,0.0000,0.0000,21722.0500,0.0000,0.0000
House,63,House District 63,"JOHNSON, DUSTY",Active,Republican,DUSTY FOR COLORADO,No,Active,15524.6500,7550.0000,5291.2300,0.0000,0.0000,17783.4200,200.0000,0.0000
House,64,House District 64,"ARMAGOST, RYAN",Terminated,Republican,ARMAGOST FOR HD64,No,Terminated,5815.3600,1100.0000,7507.7900,600.0000,0.0000,7.5700,0.0000,0.0000
House,64,House District 64,"DOWER, MAUREEN M",Active,Democratic,MO4COLORADO,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,64,House District 64,"SLAUGH, SCOTT",Active,Republican,SCOTT FOR HD 64,No,Active,0.0000,3045.0000,7036.2600,4500.0000,0.0000,508.7400,900.0000,0.0000
House,64,House District 64,"WHITLOW, COLLEEN",Active,Republican,COLLEEN WHITLOW FOR HD64,No,Active,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
House,65,House District 65,"SANDER, LORI GARCIA",Active,Republican,LORI GARCIA SANDER FOR HD 65,No,Active,9351.5900,10600.0000,6545.7300,0.0000,0.0000,13405.8600,0.0000,0.0000
